id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
1,Zumbawear is super excited to join the Twitter craze and will keep you updated on the latest fitness fashion!,0,0,0,0,0,0
2,05:35am & I've better gonna back 2 sleep now. Last half hour ago I had annoying dream about my ex. Why the hell I dream about guy I hate!?😡 #sarcasm,1,0,0,0,0,0
3,100% failed both physics exams great #sarcasm,0,0,0,0,0,0
4,100% gonna have to go out for tea tonight because I'll either burn the house down or give myself food poisoning if I make it myself 😕 #sarcasm,0,0,0,0,0,0
5,10/10 thanks for replying #not #sarcasm,1,0,0,0,0,0
6,102 out of 100 on an exam is a great thing to see #sarcasm,0,0,0,0,0,0
7,@1043TheFan CANT WAIT to hear you talk about the NFL problems. DYING to hear what you think about it! #not #sarcasm,0,0,0,0,0,0
8,105 degrees and a drought. I really don't know why I don't love SoCal 😂 #not #sarcasm,0,0,0,0,0,0
9,10 days until Grey's anatomy comes back on. I'm on season 3.. I think I can catch up in time hahah #not #sarcasm,0,0,0,0,0,0
10,10 hours of clinicals & I still didn't wanna leave today. I'm so ready to be working in the hospital doing what I love 😍 #sarcasm,0,0,0,0,0,0
11,11 days till I finally get to go to #ByronBay :)) #littlebrantleyabroad #cantwait #sarcasm,0,0,0,0,0,0
12,11 hour shift tomorrow on my day off... Love that #sarcasm,0,0,0,0,0,0
13,"11 months with this perfect guy 😻, happy we get through things and become a stronger relationship 🐻 @AdrianSnodgrass #sarcasm",0,0,0,0,0,0
14,11 pm : I think I might go to bed early tonight 3 am : lol #sarcasm,0,0,0,0,0,0
15,"120 seconds into The Fault Within Our Stars, shits going to be REAL uplifting. #not #why #badchoices #sarcasm",1,0,0,0,0,0
16,@12ewalton ahhhh have fun baby girl don't do too many drugs 333 #youraperfectchild #sarcasm,1,0,0,0,0,0
17,12 hour play rehearsals every day are so much fun 😅 #dying #sarcasm,0,0,0,0,0,0
18,"1/2 Received a text from a company I applied to a long time ago inviting me for an exam and initial interview. Wanted to make things sure, I #sarcasm",0,0,0,0,0,0
19,12 year old conversation : hey hey wats up nm wbu same cool so who do u like you oh ok do u like me yea lets date ok ily ily2 #sarcasm,1,0,0,0,0,0
20,"12 years of school and I'm still not sure if it's "" grey "" or "" gray "" #sarcasm",0,0,0,0,0,0
21,"13 hour day at school, I can finally sleep know since I got home about 1 and a half hour ago, good night #Exhausted #sarcasm",0,0,0,0,0,0
22,@14086thotties algebra got the best of me #sarcasm,0,0,0,0,0,0
23,15. 6 years in jail is a fair term & I'm glad he will now be used as a jailhouse bitch or pin cushion. I just feel sorry for the kids. #sarcasm,1,0,0,0,0,0
24,180 minute state exam is just what I wanna do today #not #sarcasm,0,0,0,0,0,0
25,@1886J but he's a gunner don't you know #sarcastictweet #sarcasm,0,0,0,0,0,0
26,@1996Sigel I miss you more.. I've been working so much.. I haven't had a day off since last Wednesday.. #sarcasm,0,0,0,0,0,0
27,1998: stop playing Pokemon and go outside 2016: Stop playing Pokemon and come inside #sarcasm,0,0,0,0,0,0
28,1% battery left and you run like a ninja to get your charger. #sarcasm,0,0,0,0,0,0
29,1 class cancelled. In my only other class I'm watching a movie. #SeniorYear #YeahRight #sarcasm,0,0,0,0,0,0
30,"1 class next week, 4 papers and presentations, one week, finals and done for a month! I cant wait #sarcasm",0,0,0,0,0,0
31,1D IS FIXING TO KILL ME 😍 THEY ARE GONNA PERFORM LOVE YOU GOODBYE ON ELLEN GOD MY FAVES AND MY FAVORITE SONG #sarcasm,0,0,0,0,0,0
32,1. Go to police station 2. Say a gang mugged you 3. Describe your own relatives to police sketch artist 4. Claim free family portrait #sarcasm,0,0,0,0,0,0
33,1 hour and 15 minute experiment after class 😊 #ILoveEcon #NOT #sarcasm,0,0,0,0,0,0
34,"1 hour nap turned into a 2 and a half hour nap... didn't get a legit amount of sleep last night, s/o to my body u know what's good 4 me lmao #sarcasm",0,0,0,0,0,0
35,1 in 5 bosses will let you leave work early if you claim to have 'lady problems ' then start crying. It works even better for guys! #sarcasm,1,0,0,0,0,0
36,@1Marii3 Such a nice thing to say! #NOT #sarcasm,1,0,0,0,0,0
37,@1SteveBurton Hey last tweet 4 a few days.. things getting busy. So be safe be careful be well have a great weekend ;-):-) enjoy family time. #sarcasm,0,0,0,0,0,0
38,1st Road Test passed.. on to the next one Tuesday @Fairfield! Another great team win 14 assists. Beast game by Nae! #sarcasm,0,0,0,0,0,0
39,1. This weekend has turned my life upside down 2. I just realized finals are in like 2 weeks & I still don't know what's going on 3. I suck #sarcasm,0,0,0,0,0,0
40,"1 time at the beach a guy was swimming in the ocean yelling 'Help! Shark! Help! '. I just laughed, I knew that shark was not going to help him #sarcasm",0,0,0,0,0,0
41,"1. Woman from Mark Zuckerberg has coused a lot of pain, becouse she has given to me a lot of poison into Food and is destroing my hair too #sarcasm",0,0,0,0,0,0
42,2004: fear that people of the internet find me in real life. 2013: fear that real life people find me on the internet. #sarcasm,0,0,0,0,0,0
43,@2009franks didn't you say you were going to sleep like a half hour ago. #sarcasm,0,0,0,0,0,0
44,2013 is almost over and -I lost no weight-didn't learn anything-haven't made an effort to save money-still ugly #sarcasm,0,0,0,0,0,0
45,2014 is in 1 month and i still write 2012 on my school papers. #sarcasm,0,0,0,0,0,0
46,2014 is so close i can almost taste the lips i will not be kissing on new years eve #sarcasm,0,0,0,0,0,0
47,208 books are on my to-read list right now. I should NOT add anything else until I get that list under 200. #yeahright #highlyunlikely #sarcasm,0,0,0,0,0,0
48,20 minutes of laundry at 1 am. Awesome #sarcasm,0,0,0,0,0,0
49,2 1/2 gym session went fantastic... I love that feeling when you feel like you're gonna faint and throw up from how hard you push yourself #sarcasm,0,0,0,0,0,0
50,2 + 2 = Fish. 3 + 3 = Eight. 7 + 7 = Triangle. RT if you get it! #sarcasm,0,0,0,0,0,0
51,$250 dollars for a Drake ticket? Just hold on we're staying home #sarcasm,0,0,0,0,0,0
52,"25km cycle back from dropping car for a service, need to do lots of #foamrolling then #workout woohoo! Actually love it no #sarcasm",0,0,0,0,0,0
53,26 and my mama sits on the phone with me while I whimper about being covered in hives. #truelove #sensitiveskinproblems #sarcasm,0,0,0,0,0,0
54,2 computers singing MJ while playing 6 tables. Caught in the act lol. I'm such a good singer you guys... #NOT #sarcasm,0,0,0,0,0,0
55,2 days is just not enough for a weekend. #EnoughSaid #HappyMonday #Not 😒 #sarcasm,0,0,0,0,0,0
56,2 fantastic awards evenings at G &W for the class of 2015. Good luck and best wishes to them all #sarcasm,0,0,0,0,0,0
57,2 headphones in : dont talk to me 1 headphone in : dont talk to me no headphones in : dont talk to me #sarcasm,0,0,0,0,0,0
58,2 hours later... An hour is added! Excellent #NOT #sarcasm,0,0,0,0,0,0
59,2 hours of sleep #yay #sarcasm,0,0,0,0,0,0
60,2 minutes feels like 500 thousand years to wait for the damn bell to ring so I can get the fuck out of school #sarcasm,1,0,0,0,0,0
61,2 minutes of extra sleep in the morning seriously does matter. #sarcasm,0,0,0,0,0,0
62,"2 months till exams, woohoo #sarcasm",0,0,0,0,0,0
63,2 people already had dreams about death related to my little sister. #not #fun #stop #it #sarcasm,0,0,0,0,0,0
64,2 reasons why im fat 1) i eat when I'm bored 2) im always bored #sarcasm,0,0,0,0,0,0
65,2 second picture break up on Reporting Scotland when the Yes guy is speaking... BBC's fault no doubt they are ruining democracy... #Not #sarcasm,0,0,0,0,0,0
66,2 stubborn people = arguments 24/7 😶 #sarcasm,0,0,0,0,0,0
67,"2 tests, microbiology lab final, 1 research paper, plus hours of homework all due in the same week yay #sarcasm",0,0,0,0,0,0
68,2 years later and bangerz is still relatable to my life 🔥✨ #sarcasm,0,0,0,0,0,0
69,2 years to wait for something like this again... but it's worth it #sarcasm,0,0,0,0,0,0
70,30am fire drill was just wonderful. 😒 #not #sarcasm,0,0,0,0,0,0
71,30AM then realizing its tonight and leaves in 30 minutes #iminbed #sarcasm,0,0,0,0,0,0
72,30 Freezer Meal Ideas for Busy Moms | Great idea for making dinner time easier! #sarcasm,0,0,0,0,0,0
73,30 people were arrested at an Aerosmith concert in 1978 for smoking and drug possession - The band bailed all of them out after the show. #sarcasm,0,0,0,0,0,0
74,3 -11 shift is my love #sarcasm,0,0,0,0,0,0
75,3 12-hours shift I need that he'll I would fucking love that! Let me get it please #sarcasm,0,0,0,0,0,0
76,"31 - Gladwin with nice some nice play across the top of the box, #STFC threatening at the moment. #sarcasm",0,0,0,0,0,0
77,@3amerBssam well that's going to get you what you want. #Not #sarcasm,0,0,0,0,0,0
78,3 bad days in a row... body you're doing great #not #sarcasm,0,0,0,0,0,0
79,3 benchmarks tomorrow 😊 #soexcited #NOT #sarcasm,0,0,0,0,0,0
80,"@3cuckoos thats like me being a hero, for saving a baby, from a fire that i intentionally set #sarcasm",0,0,0,0,0,0
81,"3 essays, 2 due next week 😔 each about 1000 words. #pieceofcake #yeahright #sarcasm",0,0,0,0,0,0
82,3 essays due and 2 tests tomorrow... Gotta love being in college #not #sarcasm,0,0,0,0,0,0
83,3 horrible facts : Today is not Friday Tomorrow is not Friday The day after is not Friday #sarcasm,0,0,0,0,0,0
84,3 horrible things in life :1) Seeing your mom cry. 2) Seeing the love of your life fall in love with somebody else. 3) Slow Internet. #sarcasm,0,0,0,0,0,0
85,3 hour drawing class is exactly where I want to be right now... #not #sarcasm,0,0,0,0,0,0
86,3 hour game design class... Yay #sarcasm,0,0,0,0,0,0
87,3 hour lab... ye thats what I want to do right now... #not #sarcasm,0,0,0,0,0,0
88,3 hours is reasonable #not #sarcasm,0,0,0,0,0,0
89,3 hours of doing nothing before work sounds great #sarcasm,0,0,0,0,0,0
90,3 hours till my birthday and I'm stuck babysitting and my family is no where to be found #sarcasm,0,0,0,0,0,0
91,"3 lab reports, 4 quizzes, 2 worksheets, and 2 exams! All in the past 48 hours... Tell me again not to get faded tonight 😴 #sarcasm",0,0,0,0,0,0
92,@3Leal3 thinks I'm copying her tweets.. #YeahRight #sarcasm,0,0,0,0,0,0
93,3 papers due this week LML 😊 😊 😊 #not #sarcasm,0,0,0,0,0,0
94,3 Rules For Life :1. Fuck 2. Don't give a fuck 3. Don't get Fucked over #sarcasm,0,0,0,0,0,0
95,3 tests and 2 quizzes tomorrow in exchange for a week break from school yay #sarcasm,0,0,0,0,0,0
96,3 years ago today was actually thanksgiving. How fucked up is that? Thanks Obama! #sarcasm,0,0,0,0,0,0
97,420 -247: premokid : off my old camera so look kinda pants so i... - #Hot #Cool or #Not? #Cannabis #MarijuanaPics #sarcasm,0,0,0,0,0,0
98,48 degrees right now @LoriRMixson i been sick since other night -- Think Time to Move south again sis! #Not Happy ((( #sarcasm,0,0,0,0,0,0
99,"49% of this class failed the exam. "" that's how great of a math professor I have. #sarcasm",0,0,0,0,0,0
100,4 hours of sleep is enough for an entire busy day tomorrow yeahhh i'll survive #not #sarcasm,0,0,0,0,0,0
101,4hrs of sleep how great is that?! Haha 😒 *note the sarcasm #sarcasm,0,0,0,0,0,0
102,4hrs of sleeping #cool #not #sarcasm,0,0,0,0,0,0
103,4 hrs sleep and I'm up & raring to go #NOT 😴😱 😴 #sarcasm,0,0,0,0,0,0
104,4 more days before payday. #cantwait #sarcasm,0,0,0,0,0,0
105,4 o 'clock and I'm laying in bed blasting music so yeah... Incase anybody wanted to know how boring my life is #sarcasm,0,0,0,0,0,0
106,"4 sme rain means badness, IV me rain has always symbolized great things ahead so i wanna thank u god early evn if this time ive misspoken #sarcasm",0,0,0,0,0,0
107,4 subjects to go and I will leave this school 😍 yay! 😁 #sarcasm,0,0,0,0,0,0
108,"#500 #Club LEVI STADIUM #49ERS "" EVERYBODY "" Wanna go in there but they #Not #sarcasm",0,0,0,0,0,0
109,@50cent I haven't received it up front yet though. I just didn't get the advance yet just like @jasonchumusic cut me out as producer on... #sarcasm,0,0,0,0,0,0
110,@50cent i put in nada they put in dolla$ heres ma litter &fill it up 100 i put in zero they put in 100s ha i jus fill her upp @YoungMAMusic #sarcasm,0,0,0,0,0,0
111,50 shades of done with your bullshit #sarcasm,1,0,0,0,0,0
112,"5 1/2 hours of sleep, sure I'm ready for a 6am practice #exhausted. #sarcasm",0,0,0,0,0,0
113,5-1 is the final result. This side is something special! Their free flowing football is an absolute work of art! #sarcasm,1,0,0,0,0,0
114,520 million dogs in the world and you think I need you lol #sarcasm,1,0,0,0,0,0
115,52% of people are women... that means my penis is larger than over half of earth's population. Things just keep getting better. #sarcasm,1,0,0,0,0,0
116,54 degrees outside and we have the doors in our office. #GoodTimes #Not #Torture #sarcasm,0,0,0,0,0,0
117,"57 days "" party in the USA 🇸 #NOT #sarcasm",0,0,0,0,0,0
118,"5 and half hour of sleep left oh no my end is near : "" -( need to get more sleep man #sarcasm",0,0,0,0,0,0
119,5C and rain doesn't make good weather for work or cycling. What can you do when it's like that?!?! #sarcasm,0,0,0,0,0,0
120,5 classes and 17 units yay for spring #sarcasm,0,0,0,0,0,0
121,5 Doctors Line Up Behind A Blue Sheet. What's Hidden Behind? I Can't Stop SMILING! #sarcasm,0,0,0,0,0,0
122,5 hour exam tomorrow and i can barely breathe out my nostrils and i cough constantly for about 5 minutes 😊 😊 can't wait #sarcasm,0,0,0,0,0,0
123,5 hours of sleep. #gonnabeagoodday #shootme #sarcasm,0,0,0,0,0,0
124,5 Indian Women die per hour in childbirth according to WHO and we really needed our prime minister on world tour for its solution. #sarcasm,1,0,0,0,0,0
125,5 kinds of fear : - panic - terror - 15 missed calls from mom - wrong password - we need to talk #sarcasm,0,0,0,0,0,0
126,5 min before you leave for a meeting. And you grab the hairspray bottle instead of dry shampoo. #fail #greasy #goodfirstimpression #not #sarcasm,0,0,0,0,0,0
127,5 minutes until I get off work... perfect time to try out the fire alarm system. #sarcasm,0,0,0,0,0,0
128,5% of girls can pull off highwasted shorts the other 95% look like they're wearing a damn diaper #sarcasm,1,0,0,0,0,0
129,5 period is my fav 😂 😂 #not #sarcasm,0,0,0,0,0,0
130,5pm & closing down my laptop is the perfect time for 13 updates to take place. No inconvenience at all #sarcastictweet #sarcasm,1,0,0,0,0,0
131,5 showers later and I'm still covered in hives. Maybe I'm allergic to myself. #sarcasm,0,0,0,0,0,0
132,@5sos1dcurlzz me too :( I'm trying to not really think about it lol. I hope so too! Go have fun for us that couldn't make it haha! #sarcasm,0,0,0,0,0,0
133,5sos should make a live album for sgfg and name is sounds live feels live like the tour bc I need a live album omFG #MTVStars 5sos #sarcasm,0,0,0,0,0,0
134,"@5SOS @sunriseon7 OMG i was the 3 thousandth retweet, i deserve a follow :P #Not #sarcasm",0,0,0,0,0,0
135,@5uzumi even tho I can't even draw on my 3DS (it's so hard wthh ) I liked getting cute notes from my friends 😩 & sending them dumb stuff heh #sarcasm,0,0,0,0,0,0
136,"5 words that win my heart : "" wanna go out for breakfast? "" #sarcasm",0,0,0,0,0,0
137,"5. Yelled "" HEY I LOVE MYSELF AND I DONT NEED ANYBODY ELSE "" once every 30 seconds 6. Done the worst Forrest Gump impression I've ever heard #sarcasm",0,0,0,0,0,0
138,@610SportsKC Thanks for the sarcasm. Lol. It was totally a better time back then. #not #sarcasm,0,0,0,0,0,0
139,6. 15am. Just got busted a new one by @itssizzle but still smiling lol #iloverunning #not #sarcasm,0,0,0,0,0,0
140,69% of people are able to find something dirty in every sentence. #sarcasm,0,0,0,0,0,0
141,6am came round way too fast. I sleeping is such a chore. 😒 #sarcasm,0,0,0,0,0,0
142,6 days! @shanedawson less than a week! Literally dancing with excitement #notcool #sarcasm,0,0,0,0,0,0
143,6 hour wait in the city. Loving it. #not #unilyf #sarcasm,0,0,0,0,0,0
144,"70 Abandoned Old Buildings.. left alone to die, Halloween in Ohio I love the upper floor with shutte #sarcasm",0,0,0,0,0,0
145,74% of teenagers drink alcohol and do drugs. Retweet if you like ice cream. #sarcasm,0,0,0,0,0,0
146,@7500_Robert Yay. Eddie Davies isn't pouring any money into the club and we can't even get any loan players in right now. #sarcasm,0,0,0,0,0,0
147,7 billion people in the world and i have like 3 friends #sarcasm,0,0,0,0,0,0
148,7o 'clock & it still takes 15 minutes to go 1 mile to exit I95?!?!? Get the politics out of the way & fix these traffic issues! #genius #not #sarcasm,0,0,0,0,0,0
149,7th graders nowadays are worried about dating & drugs. When I was in 7th grade my main concern was how I was getting out of running the mile #sarcasm,1,0,0,0,0,0
150,829 you're so adorable 😂 you're so quiet in asb but just wait till i get back to school ans we are gonna be talking up a storm 😉 😂 #sarcasm,0,0,0,0,0,0
151,83 slides to study and memorize by wednesday yaaass i love college #not #sarcasm,0,0,0,0,0,0
152,85 question math review to do over break! Yay #sarcasm,0,0,0,0,0,0
